Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Aabaarnia siphulicola,810084,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Siphula decumbens,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus,4,Genus,Pathotroph,Lichen Parasite,Possible,Microfungus,NULL,NULL,Esslinger TL. 2014. North Dakota State University [Link]
Abrothallus acetabuli,126689,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pleurosticta acetabulum,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus bertianus,478577,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Melanelixia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus boomii,809372,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Nephroma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus brattii,809373,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria faveolata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus bryoriarum,363162,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Bryoria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus buellianus,226680,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmelina,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus caerulescens,227299,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Xanthoparmelia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus canariensis,809366,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria aurata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus cetrariae,203553,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Platismatia glauca,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus chrysanthus,630958,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Usnea,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus cladoniae,125687,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Cladonia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus doliiformis,809367,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Sticta,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus eriodermae,809368,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Erioderma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus ertzii,809369,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Lobaria pulmonaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus etayoi,809370,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Sticta,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus granulatae,362549,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus halei,518660,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Lobaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus hypotrachynae,371712,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Hypotrachyna,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus kamchatica,810720,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Nephroma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus macrosporus,810726,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Durietzia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus microspermus,216226,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Flavoparmelia caperata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus nephromatis,809371,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Nephroma,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus parmeliarum,216521,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmelia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus parmotrematis,563492,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Parmotrema,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus peyritschii,228432,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Vulpicida,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus pezizicola,484171,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Cladonia peziziformis,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus prodiens,126687,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Hypogymnia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus secedens,362548,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Pseudocyphellaria,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus stereocaulorum,371738,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Stereocaulon,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus stictarum,371740,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Sticta,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus stroblii,511396,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Menegazzia terebrata,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus suecicus,325708,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Ramalina,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus teloschistis,812338,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Seirophora and Teloschistes,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus tulasnei,466494,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Xanthoparmelia,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus usneae,457669,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Usnea,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus usneae var. tetraspora,511458,Variety,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Usnea,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Abrothallus welwitschii,228963,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Sticta,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Acallomyces,7,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acantharia,8,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acanthonitschkea peltigericola,412369,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Peltigera,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Acanthorhynchus,14,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acanthorhynchus vaccinii,233277,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acaroconium,511401,Genus,Pathotroph,Lichen Parasite,Possible,Microfungus,NULL,NULL,Esslinger TL. 2014. North Dakota State University [Link]
Acaroconium punctiforme,511574,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Acarospora and Sarcogyne,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Acaromyces ingoldii,488275,Species,Pathotroph,Animal Pathogen,Highly Probable,Yeast,NULL,"An anamorphic fungus isolated from cadavers of the citrus rust mite infesting grapefruit (C. paradisi) leaves - similar to the yeast-like fungi classified in the Ustilaginales, such as Pseudozyma species (Boekhout et al. 2003)","Boekhout T, et al. 2003. International Journal of Systematic and Evolutionary Microbiology 53:1655-1664 [Link]"
Acarosporium,7010,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acarosporium lichenicola,443429,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Icmadophila,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Acaulopage,20002,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acerviclypeatus,11251,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acervuloseptoria,808951,Genus,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Foliicolous (Crous et al. 2014),"Crous PW, et al. 2014. Persoonia 32:184-306 [Link]"
Acervuloseptoria capensis,812521,Species,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Host - Ziziphus mucronata (Rhamnaceae)-Foliicolous (Crous et al. 2015),"Crous PW, et al. 2015. Sydowia 67:81-118 [Link]"
Acervuloseptoria ziziphicola,808952,Species,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Host - Ziziphus mucronata (Rhamnaceae)-Foliicolous (Crous et al. 2014),"Crous PW, et al. 2014. Persoonia 32:184-306 [Link]"
Achrotelium,16002,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acicuseptoria,804454,Genus,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Host - Rumex alpinus (Polygonaceae; on stems; Quaedvlieg et al. 2013),"Quaedvlieg W, et al. 2013. Studies in Mycology 75:307-390 [Link]"
Acicuseptoria rumicis,804455,Species,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Host - Rumex alpinus (Polygonaceae; on stems; Quaedvlieg et al. 2013),"Quaedvlieg W, et al. 2013. Studies in Mycology 75:307-390 [Link]"
Acompsomyces,45,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acremonium acutatum,308111,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium brunnescens,308128,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium charticola,308134,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium crotocinigenum,308136,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acremonium fungicola,308147,Species,Pathotroph,Fungal Parasite,Highly Probable,Microfungus,NULL,NULL,List compiled by John Plischke III [Link]
Acremonium fusidioides,308149,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium hyalinulum,308158,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium implicatum,308160,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium persicinum,308180,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium recifei,308188,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium tubakii,308207,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Acremonium tulasnei,308208,Species,Pathotroph,Fungal Parasite,Highly Probable,Microfungus,NULL,NULL,List compiled by John Plischke III [Link]
Acrocalymma medicaginis,130085,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrocylindrium,7032,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrocylindrium oryzae,273091,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrodontium,7035,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrodontium simplex,308231,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrogynomyces,50,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Acrophialophora,7037,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrophialophora fusispora,308237,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Acrosporium tingitaninum,308259,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Adelococcaceae,81961,Family,Pathotroph,Fungal Parasite,Probable,Microfungus,NULL,Biotrophic or necrotrophic on lichens (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Adelococcus,76,Genus,Pathotroph,Lichen Parasite,Possible,NULL,NULL,NULL,Esslinger TL. 2014. North Dakota State University [Link]
Adelococcus alpestris,415057,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Acarospora glaucocarpa and A. macrospora,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Adelococcus immersus,450364,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,Lichen parasite on Dermatocarpon biennense,"Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Adelococcus interlatens,128799,Species,Pathotroph,Lichen Parasite,Highly Probable,Microfungus,NULL,"Lichen parasite on Clauzadea immersa, Hymenelia prevostii and Sarcogyne regularis","Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) [Link]"
Adisciso,519743,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aecidiconium,16003,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aecidiolum,16005,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aecidium,16006,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aecidium campanulastri,154986,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Aecidium cannabis,259646,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Aecidium caspicum,164959,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Aecidium foeniculi,193232,Species,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Aeciure,27407,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aegeritella,7071,Genus,Pathotroph,Animal Pathogen,Highly Probable,Microfungus,NULL,Pathotroph isolated from ants (Formica; Espadaler & Monteserín 2003),"Espadaler X, Monteserín S. 2003. Orsis 18:13-17 [Link]"
Aegeritella tuberculata,114190,Species,Pathotroph,Animal Pathogen,Highly Probable,Microfungus,NULL,Pathotroph isolated from ants (Formica; Espadaler & Monteserín 2003),"Espadaler X, Monteserín S. 2003. Orsis 18:13-17 [Link]"
Aequabiliella,812475,Genus,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Pathotroph isolated from necrosis in Prunus wood (Crous et al. 2015),"Crous PW, et al. 2015. Persoonia 34:167-266 [Link]"
Aequabiliella effusa,812476,Species,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Syn. Phaeomoniella effusa-Pathotroph isolated from necrosis in Prunus wood (Crous et al. 2015),"Crous PW, et al. 2015. Persoonia 34:167-266 [Link]"
Ahmadiago,510254,Genus,Pathotroph,Plant Pathogen,Probable,Facultative Yeast,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aizoago,802766,Genus,Pathotroph,Plant Pathogen,Probable,Facultative Yeast,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Ajellomyces capsulatus,308418,Species,Pathotroph,Animal Pathogen,Probable,NULL,NULL,Likely opportunistic human pathogen (www.cdc.gov),https://www.cdc.gov [Link]
Akanthomyces,7083,Genus,Pathotroph,Animal Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aldona,115,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Aldonata,25242,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Alina,125,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allantonectria,128,Genus,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,"Plant pathogen on leaf of members of monocots, especially Agavaceae (Hirooka et al. 2012)","Hirooka Y, et al. 2012. Studies in Mycology 71:1-210 [Link]"
Allantonectria miltina,102509,Species,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,"Plant pathogen on leaf of members of monocots, especially Agavaceae (Hirooka et al. 2012)","Hirooka Y, et al. 2012. Studies in Mycology 71:1-210 [Link]"
Allantophomoides,28720,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allantophomopsiella,809673,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Crous PW, et al. 2014. IMA Fungus 5:173-193 [Link]"
Allantophomopsiella pseudotsugae,809674,Species,Pathotroph,Plant Pathogen,Highly Probable,NULL,NULL,Canker,"Crous PW, et al. 2014. IMA Fungus 5:173-193 [Link]"
Allantophomopsis,7091,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allantophomopsis cytisporea,262734,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Allantophomopsis lycopodina,127644,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Allantophomopsis pseudotsugae,359574,Species,Pathotroph,Plant Pathogen,Highly Probable,Microfungus,NULL,Canker; see Allantophomopsiella pseudotsugae,"Crous PW, et al. 2014. IMA Fungus 5:173-193 [Link]"
Allantoporthe,130,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allewia,25500,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allodus,16008,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allonectella,140,Genus,Pathotroph,Fungal Parasite,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Allophoma,814058,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,Isolated from leaf spots (Chen et al. 2015),"Chen Q, et al. 2015. Studies in Mycology 82:137-217 [Link]"
Allotelium,16010,Genus,Pathotroph,Plant Pathogen,Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
Alternaria arachidis,308498,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria brassicae,214057,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria brassicicola,292407,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,"Host - Brassica, Rosa; Necrotroph causing leaf spot disease (Maude & Humpherson-Jones 1980)","Maude RB, Humpherson-Jones FM. 1980. Annals of Applied Biology 95:311-319 [Link]; The American Phytopathological Society Common Names of Plant Diseases [Link]"
Alternaria cinerariae,251428,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria dauci,284025,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria dianthicola,284026,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria euphorbiicola,103984,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria helianthicola,308509,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria humuli,374009,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria infectoria,103987,Species,Pathotroph,Animal Pathogen,Probable,Microfungus,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Alternaria japonica,284033,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria limicola,127807,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria mali,214990,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria padwickii,308514,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria panax,121048,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria porri,215273,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria radicina,276047,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria ramulosa,326070,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria raphani,284035,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria saponariae,246514,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria senecionis,284039,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria tomato,101579,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternaria triticina,326079,Species,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,The American Phytopathological Society Common Names of Plant Diseases [Link]
Alternariaster,505049,Genus,Pathotroph,Plant Pathogen,Probable,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 [Link]"
