Taxon,ID Number,Rank,Trophic Mode,Guild,Confidence Ranking,Growth Form,Trait,Notes,Source/Citation
Candida ruelliae,508494,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida rugosa,284780,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Common cause of candidemias (Trofa et al. 2008); Likely opportunistic human pathogen (Irinyi et al. 2015),"Trofa D, et al. 2008. Clinical Microbiology Reviews 21:606-625 [Link]; Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida salmanticensis,310333,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida santamariae,327456,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida santamariae var. membranifaciens,522110,Variety,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida savonica,310334,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida sequanensis,105987,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida silvatica,310337,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida sophiae-reginae,105988,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida sorbosivorans,484362,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida stellimalicola,363648,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida tanzawaensis,125431,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida xylopsoci,456721,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
Candida zeylanoides,255505,Species,Pathotroph,Animal Pathogen,Probable,Dimorphic Yeast,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 [Link]"
